Site,Trap Type,# Seeds
LBT 1,L,30
LBT 1,SA,55
LBT 1,SP,29
LBT 2,L,329
LBT 2,SA,7
LBT 2,SP,29
LBT 3,L,0
LBT 3,SA,21
LBT 3,SP,18
WBT 1,L,190
WBT 1,SA,206
WBT 1,SP,139
WBT 2,L,15
WBT 2,SA,33
WBT 2,SP,89
EBT 1,L,4
EBT 1,SA,51
EBT 1,SP,5
EBT 2,L,48
EBT 2,SA,22
EBT 2,SP,68
Oxbow,L,0
Oxbow,SA,0
Oxbow,SP,3
Elk 1,L,1
Elk 1,SA,0
Elk 1,SP,0
Elk 2,L,0
Elk 2,SA,51
Elk 2,SP,2
Elk 3,L,0
Elk 3,SA,8
Elk 3,SP,3
Elk 4,L,1
Elk 4,SA,0
Elk 4,SP,0
Yancy,L,0
Yancy,SA,0
Yancy,SP,7
Crescent,L,0
Crescent,SA,0
Crescent,SP,0
Hailbuff,L,0
Hailbuff,SA,0
Hailbuff,SP,0
Lamar Excl,S 1,2
Lamar Excl,S 2,17
Lamar Excl,S 3,12
Rose,L,0
Rose,SA,0
Rose,SP,0
Jnct. Bute,S Fence,69
Jnct. Bute,S Middle,127
Jnct. Bute,S Owl,762
Lost Lake,L,0
Lost Lake,SA,0
Lost Lake,SP,0
Lost Creek,L,0
Lost Creek,SA,0
Lost Creek,SP,1
Slide,L,0
Slide,SA,0
Slide,SP,0
Lava,L,0
Lava,SA,0
Lava,SP,0
Glenn Creek,L,0
Glenn Creek,SA,3
Glenn Creek,SP,0
G-Hole,L,0
G-Hole,SA,0
G-Hole,SP,0
