site,Ambiant Seed Rain,Total Seed Rain,Placed Seed Rain,Total Seedlings,PB Seedlings,No PB Seedlings
Crescent,0,0,0,3,1,2
EBT 1,570.4867,624.3062,53.8195,9,5,4
EBT 2,495.1394,1227.0846,731.9452,14,11,3
Elk 1,5.38195,5.38195,0,0,0,0
Elk 2,548.9589,570.4867,21.5278,1,0,1
Elk 3,86.1112,118.4029,32.2917,0,0,0
Elk 4,5.38195,5.38195,0,1,1,0
G-Hole,0,0,0,2,2,0
Glenn Creek,0,32.2917,0,0,0,0
Hailbuff,0,0,0,0,0,0
Lava,0,0,0,1,0,1
LBT 1,753.473,1065.6261,312.1531,15,0,15
LBT 2,1846.00885,2158.16195,312.1531,3,2,1
LBT 3,226.0419,419.7921,193.7502,13,12,1
Lost Creek,0,10.7639,10.7639,0,0,0
Lost Lake,0,0,0,4,3,1
Oxbow,0,32.2917,32.2917,6,5,1
Slide,0,0,0,1,0,1
WBT 1,3239.9339,4736.116,1496.1821,6,5,11
WBT 2,435.93795,1393.92505,957.9871,30,23,7
Yancy,0,75.3473,75.3473,11,8,3
