site,Average Height,DP10,KM08
Crescent,58.91304,0,
EBT 1,113.65891,624.3062,100
EBT 2,161.42254,1227.0846,122.222
Elk 1,105,5.38195,2.7778
Elk 2,119.52174,570.4867,5.5556
Elk 3,108.5,118.4029,2.7778
Elk 4,109.88199,5.38195,11.111
G-Hole,51.61538,0,
Glenn Creek,70.21429,32.2917,
Hailbuff,46.2,0,
Lava,87.2381,0,0
LBT 1,144.86486,1065.6261,77.7778
LBT 2,140.536,2158.16195,5.5556
LBT 3,158.35294,419.7921,2.778
Lost Creek,67.56863,10.7639,
Lost Lake,77.8,0,
Oxbow,122.19231,32.2917,2.778
Slide,44,0,
WBT 1,180.57605,4736.116,888.889
WBT 2,226.30769,1393.92505,388.889
Yancy,148.09524,75.3473,0
EBT 1,113.65891,100,
EBT 2,161.42254,122.222,
Elk 1,105,2.7778,
Elk 2,119.52174,5.5556,
Elk 3,108.5,2.7778,
Elk 4,109.88199,11.111,
Lava,87.2381,0,
LBT 1,144.86486,77.7778,
LBT 2,140.536,5.5556,
LBT 3,158.35294,2.778,
Oxbow,122.19231,2.778
WBT 1,180.57605,888.889
WBT 2,226.30769,388.889
Yancy,148.09524,0
