site,plot,species,willid,stem1,stem2,stem3,stem4,stem5,stem6,gender,sex_ann,sex_index,.,.
eb1,cc,boothi,614,614,615,616,.,.,.,.,m,2,.,
eb1,cc,boothi,617,617,618,619,,.,.,.,,0,.,.
eb1,cc,boothi,620,620,621,622,9290,.,.,.,,0,.,.
eb1,cc,boothi,623,623,624,625,.,.,.,.,dead,0,.,.
eb1,cc,boothi,626,626,627,628,9360,9670,.,.,f,1,.,.
eb1,cc,boothi,629,629,630,631,.,.,.,.,f,1,.,.
eb1,cc,boothi,632,632,633,634,.,.,.,.,,0,.,.
eb1,cc,geyer,493,493,494,495,8020,9130,9900,.,,0,.,.
eb1,cc,geyer,496,496,497,498,8680,8930,.,.,,0,.,.
eb1,cc,geyer,499,499,500,601,.,.,.,f,f,1,.,.
eb1,cc,geyer,602,602,603,604,.,.,.,.,f,1,.,.
eb1,cc,geyer,605,605,606,607,8890,.,.,.,,0,.,.
eb1,cc,geyer,608,608,609,610,9470,.,.,.,f,1,.,.
eb1,cc,geyer,611,611,612,613,.,.,.,.,f,1,.,.
eb1,cx,boothi,658,658,659,660,.,.,.,m,m,2,.,.
eb1,cx,boothi,661,661,662,663,.,.,.,m,m,2,.,.
eb1,cx,geyer,637,637,638,639,.,.,.,m,m,2,.,.
eb1,cx,geyer,640,640,641,642,9630,.,.,m,m,2,.,.
eb1,cx,geyer,643,643,644,645,.,.,.,m,m,2,.,.
eb1,cx,geyer,646,646,647,648,.,.,.,.,,0,.,.
eb1,cx,geyer,649,649,650,651,8840,.,.,m,m,2,.,.
eb1,cx,geyer,652,652,653,654,.,.,.,m,m,2,.,.
eb1,cx,geyer,655,655,656,657,9680,.,.,m,m,2,.,.
eb1,dc,beb,24,24,477,478,.,.,.,.,,0,.,.
eb1,dc,boothi,16,16,489,490,.,.,.,.,m,2,.,.
eb1,dc,boothi,17,17,491,492,.,.,.,.,,0,.,.
eb1,dc,boothi,25,25,479,480,.,.,.,.,,0,.,.
eb1,dc,boothi,27,27,481,482,.,.,.,.,,0,.,.
eb1,dc,boothi,28,28,485,486,8360,.,.,.,m,2,.,.
eb1,dc,boothi,29,29,487,488,.,.,.,.,,0,.,.
eb1,dc,boothi,30,30,483,484,9720,.,.,.,,0,.,.
eb1,dc,geyer,18,18,473,474,.,.,.,.,,0,.,.
eb1,dc,geyer,19,19,471,472,.,.,.,.,,0,.,.
eb1,dc,geyer,20,20,475,476,.,.,.,.,,0,.,.
eb1,dc,geyer,21,21,465,466,.,.,.,m,m,2,.,.
eb1,dc,geyer,22,22,463,464,.,.,.,.,,0,.,.
eb1,dc,geyer,23,23,467,468,.,.,.,m,,2,.,.
eb1,dc,geyer,26,26,469,470,.,.,.,.,,0,.,.
eb1,dc,geyer,814,8140,8570,9930,.,.,.,.,m,2,.,.
eb1,dx,beb,5,5,446,447,.,.,.,f,f,1,.,.
eb1,dx,boothi,1,1,454,455,.,.,.,.,f,1,.,.
eb1,dx,boothi,11,11,452,453,.,.,.,f,f,1,.,.
eb1,dx,boothi,12,12,459,460,.,.,.,f,f,1,.,.
