site,sex,sex_index,species,height
Cres,f,1,bebb,56
Cres,f,1,bebb,52
Cres,f,1,bebb,71
Cres,f,1,bebb,55
Cres,f,1,booth,62
Cres,,0,bebb,65
Cres,,0,bebb,81
Cres,,0,bebb,64
Cres,,0,bebb,56
Cres,,0,bebb,72
Cres,,0,bebb,66
Cres,,0,bebb,62
Cres,,0,bebb,47
Cres,,0,bebb,56
Cres,,0,bebb,61
Cres,,0,booth,37
Cres,,0,geyer,68
Cres,,0,geyer,53
Cres,,0,geyer,53
Cres,,0,geyer,55
Cres,,0,geyer,62
Cres,,0,geyer,42
Cres,,0,,59
EBT1,f,1,bebb,84
EBT1,f,1,booth,108
EBT1,f,1,booth,72
EBT1,f,1,booth,52
EBT1,f,1,booth,164
EBT1,f,1,booth,97
EBT1,f,1,booth,89
EBT1,f,1,booth,87
EBT1,f,1,booth,158
EBT1,f,1,booth,99
EBT1,f,1,booth,115
EBT1,f,1,booth,137
EBT1,f,1,booth,64
EBT1,f,1,booth,95
EBT1,f,1,booth,92
EBT1,f,1,booth,123
EBT1,f,1,booth,73
EBT1,f,1,booth,175
EBT1,f,1,booth,80
EBT1,f,1,booth,83
EBT1,f,1,booth,82
EBT1,f,1,booth,109
EBT1,f,1,booth,73
EBT1,f,1,booth,109
EBT1,f,1,booth,158
EBT1,f,1,booth,171
EBT1,f,1,booth,165
EBT1,f,1,booth,116
EBT1,f,1,booth,98
EBT1,f,1,booth,123
EBT1,f,1,booth,113
EBT1,f,1,booth,175
EBT1,f,1,booth,177
EBT1,f,1,booth,137
EBT1,f,1,booth,127
EBT1,f,1,booth,133
EBT1,f,1,booth,156
EBT1,f,1,booth,144
EBT1,f,1,booth,153
EBT1,f,1,drum,144
EBT1,f,1,drum,112
EBT1,f,1,geyer,104
EBT1,f,1,geyer,139
EBT1,f,1,geyer,169
EBT1,f,1,geyer,151
EBT1,f,1,geyer,132
EBT1,f,1,geyer,124
EBT1,f,1,geyer,104
EBT1,f,1,geyer,96
EBT1,f,1,geyer,131
EBT1,f,1,geyer,70
EBT1,f,1,geyer,98
EBT1,f,1,geyer,126
EBT1,f,1,geyer,92
EBT1,f,1,geyer,87
EBT1,f,1,geyer,79
EBT1,f,1,geyer,103
EBT1,f,1,geyer,136
EBT1,f,1,geyer,128
EBT1,f,1,geyer,171
EBT1,f,1,geyer,178
EBT1,m,2,booth,70
EBT1,m,2,booth,105
EBT1,m,2,booth,115
EBT1,m,2,booth,81
EBT1,m,2,booth,152
EBT1,m,2,booth,122
EBT1,m,2,booth,117
EBT1,m,2,booth,165
EBT1,m,2,drum,201
EBT1,m,2,drum,91
EBT1,m,2,drum,157
EBT1,m,2,drum,115
EBT1,m,2,drum,109
EBT1,m,2,drum,193
EBT1,m,2,drum,205
EBT1,m,2,geyer,124
EBT1,m,2,geyer,120
EBT1,m,2,geyer,90
EBT1,m,2,geyer,144
EBT1,m,2,geyer,156
EBT1,m,2,geyer,111
EBT1,m,2,geyer,175
EBT1,,0,bebb,92
EBT1,,0,bebb,56
EBT1,,0,bebb,106
EBT1,,0,bebb,91
EBT1,,0,bebb,87
EBT1,,0,bebb,72
EBT1,,0,bebb,143
EBT1,,0,bebb,68
EBT1,,0,booth,36
EBT1,,0,booth,67
EBT1,,0,booth,54
EBT1,,0,booth,159
EBT1,,0,booth,125
EBT1,,0,booth,89
EBT1,,0,booth,51
EBT1,,0,booth,120
EBT1,,0,booth,131
EBT1,,0,booth,98
EBT1,,0,booth,103
EBT1,,0,booth,90
EBT1,,0,booth,93
EBT1,,0,booth,82
EBT1,,0,booth,95
EBT1,,0,booth,92
EBT1,,0,booth,90
EBT1,,0,booth,129
EBT1,,0,booth,53
EBT1,,0,booth,87
EBT1,,0,booth,158
EBT1,,0,booth,129
EBT1,,0,booth,86
EBT1,,0,drum,121
EBT1,,0,drum,88
EBT1,,0,drum,111
EBT1,,0,drum,77
EBT1,,0,drum,57
EBT1,,0,drum,107
EBT1,,0,drum,107
EBT1,,0,geyer,107
EBT1,,0,geyer,86
EBT1,,0,geyer,108
EBT1,,0,geyer,104
EBT1,,0,geyer,117
EBT1,,0,geyer,154
EBT1,,0,geyer,87
EBT1,,0,geyer,141
EBT2,f,1,bebb,192
EBT2,f,1,bebb,203
EBT2,f,1,bebb,183
EBT2,f,1,bebb,189
EBT2,f,1,bebb,204
EBT2,f,1,bebb,137
EBT2,f,1,bebb,188
EBT2,f,1,bebb,125
EBT2,f,1,bebb,145
EBT2,f,1,bebb,91
EBT2,f,1,bebb,186
EBT2,f,1,booth,141
EBT2,f,1,booth,104
EBT2,f,1,booth,222
EBT2,f,1,booth,164
EBT2,f,1,booth,161
EBT2,f,1,booth,141
EBT2,f,1,booth,197
EBT2,f,1,booth,166
EBT2,f,1,booth,157
EBT2,f,1,booth,126
EBT2,f,1,booth,177
EBT2,f,1,booth,116
EBT2,f,1,booth,82
EBT2,f,1,booth,180
EBT2,f,1,booth,143
EBT2,f,1,booth,174
EBT2,f,1,booth,166
EBT2,f,1,drum,153
EBT2,f,1,drum,87
EBT2,f,1,drum,184
EBT2,f,1,drum,132
EBT2,f,1,drum,111
EBT2,f,1,drum,170
EBT2,f,1,drum,132
EBT2,f,1,drum,84
EBT2,f,1,drum,154
EBT2,f,1,drum,174
EBT2,f,1,drum,141
EBT2,f,1,drum,159
EBT2,f,1,drum,240
EBT2,f,1,drum,177
EBT2,f,1,geyer,296
EBT2,f,1,geyer,166
EBT2,f,1,geyer,174
EBT2,f,1,geyer,150
EBT2,f,1,geyer,151
EBT2,f,1,geyer,165
EBT2,f,1,geyer,238
EBT2,f,1,geyer,106
EBT2,f,1,geyer,190
EBT2,f,1,geyer,159
EBT2,f,1,geyer,226
EBT2,f,1,geyer,245
EBT2,f,1,geyer,210
EBT2,f,1,geyer,272
EBT2,f,1,geyer,197
EBT2,f,1,geyer,209
EBT2,f,1,geyer,241
EBT2,f,1,geyer,163
EBT2,f,1,geyer,385
EBT2,f,1,geyer,246
EBT2,f,1,geyer,156
EBT2,f,1,geyer,145
EBT2,f,1,geyer,153
EBT2,f,1,geyer,109
EBT2,f,1,geyer,158
EBT2,f,1,plani,258
EBT2,m,2,bebb,115
EBT2,m,2,bebb,109
EBT2,m,2,bebb,132
EBT2,m,2,bebb,76
EBT2,m,2,bebb,70
EBT2,m,2,booth,236
EBT2,m,2,booth,223
EBT2,m,2,booth,235
EBT2,m,2,booth,152
EBT2,m,2,booth,186
EBT2,m,2,booth,228
EBT2,m,2,booth,214
EBT2,m,2,booth,225
EBT2,m,2,booth,230
EBT2,m,2,drum,139
EBT2,m,2,drum,174
EBT2,m,2,drum,155
EBT2,m,2,drum,190
EBT2,m,2,drum,198
EBT2,m,2,drum,240
EBT2,m,2,erico,206
EBT2,m,2,geyer,216
EBT2,m,2,geyer,222
EBT2,m,2,geyer,179
EBT2,m,2,geyer,218
EBT2,m,2,geyer,231
EBT2,m,2,geyer,183
EBT2,m,2,geyer,173
EBT2,m,2,geyer,219
EBT2,m,2,geyer,176
EBT2,m,2,geyer,173
EBT2,m,2,geyer,190
EBT2,m,2,geyer,144
EBT2,m,2,geyer,199
EBT2,m,2,geyer,225
EBT2,m,2,geyer,203
EBT2,m,2,geyer,173
EBT2,m,2,geyer,196
EBT2,m,2,geyer,178
EBT2,m,2,geyer,205
EBT2,m,2,geyer,185
EBT2,m,2,geyer,63
EBT2,m,2,geyer,92
EBT2,m,2,geyer,127
EBT2,m,2,geyer,178
EBT2,m,2,plani,141
EBT2,,0,bebb,113
EBT2,,0,bebb,167
EBT2,,0,booth,66
EBT2,,0,booth,124
EBT2,,0,booth,74
EBT2,,0,booth,133
EBT2,,0,booth,55
EBT2,,0,booth,65
EBT2,,0,drum,86
EBT2,,0,drum,68
EBT2,,0,drum,123
EBT2,,0,drum,93
EBT2,,0,drum,204
EBT2,,0,drum,87
EBT2,,0,drum,174
EBT2,,0,drum,76
EBT2,,0,drum,148
EBT2,,0,geyer,125
EBT2,,0,geyer,163
EBT2,,0,geyer,127
EBT2,,0,geyer,94
EBT2,,0,geyer,54
EBT2,,0,geyer,69
EBT2,,0,geyer,53
EBT2,,0,geyer,103
EBT2,,0,geyer,115
EBT2,,0,geyer,85
EBT2,,0,plani,130
Elk1,,0,geyer,101
Elk1,,0,geyer,63
Elk1,,0,plani,140
Elk1,,0,pseudo,103
Elk1,,0,pseudo,85
Elk1,,0,pseudo,171
Elk1,,0,pseudo,72
ELK2,f,1,bebb,204
ELK2,f,1,bebb,142
ELK2,f,1,bebb,99
ELK2,f,1,booth,91
ELK2,f,1,booth,154
ELK2,f,1,booth,185
ELK2,f,1,booth,187
ELK2,f,1,booth,200
ELK2,f,1,geyer,384
ELK2,f,1,geyer,183
ELK2,f,1,geyer,208
ELK2,f,1,geyer,197
ELK2,f,1,geyer,67
ELK2,f,1,geyer,103
ELK2,f,1,geyer,216
ELK2,f,1,geyer,153
ELK2,f,1,geyer,167
ELK2,f,1,geyer,219
ELK2,f,1,plani,142
ELK2,f,1,plani,70
ELK2,f,1,pseudo,108
ELK2,f,1,pseudo,105
ELK2,m,2,bebb,109
ELK2,m,2,plani,98
ELK2,m,2,pseudo,82
ELK2,m,2,pseudo,110
ELK2,,0,bebb,90
ELK2,,0,bebb,142
ELK2,,0,bebb,97
ELK2,,0,bebb,98
ELK2,,0,bebb,147
ELK2,,0,bebb,69
ELK2,,0,bebb,171
ELK2,,0,bebb,199
ELK2,,0,bebb,205
ELK2,,0,bebb,72
ELK2,,0,bebb,134
ELK2,,0,bebb,145
ELK2,,0,bebb,87
ELK2,,0,bebb,193
ELK2,,0,bebb,123
ELK2,,0,bebb,99
ELK2,,0,bebb,90
ELK2,,0,bebb,77
ELK2,,0,bebb,134
ELK2,,0,bebb,108
ELK2,,0,bebb,74
ELK2,,0,bebb,92
ELK2,,0,bebb,111
ELK2,,0,bebb,82
ELK2,,0,bebb,112
ELK2,,0,bebb,139
ELK2,,0,bebb,79
ELK2,,0,bebb,125
ELK2,,0,bebb,120
ELK2,,0,bebb,70
ELK2,,0,bebb,75
ELK2,,0,bebb,72
ELK2,,0,bebb,90
ELK2,,0,bebb,105
ELK2,,0,bebb,112
ELK2,,0,bebb,116
ELK2,,0,bebb,117
ELK2,,0,bebb,126
ELK2,,0,bebb,125
ELK2,,0,bebb,73
ELK2,,0,bebb,92
ELK2,,0,bebb,118
ELK2,,0,bebb,114
ELK2,,0,bebb,147
ELK2,,0,bebb,110
ELK2,,0,bebb,96
ELK2,,0,bebb,134
ELK2,,0,bebb,93
ELK2,,0,bebb,84
ELK2,,0,bebb,70
ELK2,,0,booth,116
ELK2,,0,booth,66
ELK2,,0,booth,58
ELK2,,0,booth,90
ELK2,,0,booth,74
ELK2,,0,booth,98
ELK2,,0,booth,144
ELK2,,0,booth,165
ELK2,,0,booth,148
ELK2,,0,booth,141
ELK2,,0,booth,124
ELK2,,0,booth,148
ELK2,,0,booth,77
ELK2,,0,booth,145
ELK2,,0,booth,151
ELK2,,0,booth,78
ELK2,,0,booth,76
ELK2,,0,booth,74
ELK2,,0,booth,127
ELK2,,0,booth,46
ELK2,,0,geyer,102
ELK2,,0,geyer,111
ELK2,,0,geyer,138
ELK2,,0,geyer,163
ELK2,,0,geyer,151
ELK2,,0,geyer,96
ELK2,,0,geyer,203
ELK2,,0,geyer,116
ELK2,,0,geyer,72
ELK2,,0,geyer,83
ELK2,,0,geyer,122
ELK2,,0,geyer,106
ELK2,,0,geyer,112
ELK2,,0,geyer,153
ELK2,,0,geyer,92
ELK2,,0,geyer,162
ELK2,,0,geyer,92
ELK2,,0,geyer,89
ELK2,,0,geyer,108
ELK2,,0,geyer,120
ELK2,,0,geyer,169
ELK2,,0,geyer,98
ELK2,,0,geyer,101
ELK2,,0,geyer,87
ELK2,,0,geyer,84
ELK2,,0,geyer,126
